"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, ","2","10uF","CP","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","",""
"C2, C4, ","2","1uF","C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C5, ","1","100uF","CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","",""
"C6, ","1","47uF","CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","",""
"R1, R4, R7, R10, R12, R13, ","6","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, R3, R8, R9, ","4","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R5, ","1","470R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R6, R11, ","2","1M","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RV1, ","1","C10k","R_POT","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical","",""
"U1, ","1","LM324","LM324","Package_DIP:DIP-14_W7.62mm_Socket","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",""
